LDAP_CODE,부서1,부서2,부서3,부서4,부서5,부서6,공무원_종류,직급,정원수
,고용노동부,본부,차관,기획조정실,정책기획관,규제개혁법무담당관,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사,1
,고용노동부,본부,차관,기획조정실,정책기획관,규제개혁법무담당관,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사보,1
,고용노동부,본부,차관,기획조정실,정책기획관,규제개혁법무담당관,일반직,행정·통계·직업상담 또는 전산서기,1
,고용노동부,본부,차관,기획조정실,정책기획관,양성평등정책담당관,일반직,서기관 또는 과학기술서기관,1
,고용노동부,본부,차관,기획조정실,정책기획관,양성평등정책담당관,일반직,행정·통계·공업·보건· 시설·전산 또는 기록연구관,1
,고용노동부,본부,차관,기획조정실,정책기획관,양성평등정책담당관,일반직,행정·통계·공업·보건· 시설·전산 또는 기록연구관,1
,고용노동부,본부,차관,기획조정실,정책기획관,양성평등정책담당관,일반직,행정주사,1
,고용노동부,본부,차관,기획조정실,정책기획관,양성평등정책담당관,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사보,1
,고용노동부,본부,차관,기획조정실,정책기획관,양성평등정책담당관,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사보,1
,고용노동부,본부,차관,기획조정실,정책기획관,양성평등정책담당관,일반직,전문경력관 나군(양성평등),1
,고용노동부,본부,차관,기획조정실,정책기획관,비상안전담당관,일반직,임기제 서기관,1
,고용노동부,본부,차관,기획조정실,정책기획관,비상안전담당관,일반직,행정 또는 전산주사,1
,고용노동부,본부,차관,기획조정실,정책기획관,비상안전담당관,일반직,전문경력관 가군(비상계획),1
,고용노동부,본부,차관,기획조정실,정책기획관,비상안전담당관,일반직,전문경력관 다군(비상계획),1
,고용노동부,본부,차관,기획조정실,정책기획관,지능정보화기획팀,일반직,과학기술서기관 또는 전산사무관,1
,고용노동부,본부,차관,기획조정실,정책기획관,지능정보화기획팀,일반직,행정·통계·공업·보건· 시설·전산 또는 기록연구관,1
,고용노동부,본부,차관,기획조정실,정책기획관,지능정보화기획팀,일반직,행정·통계·공업·보건· 시설·전산 또는 기록연구관,1
,고용노동부,본부,차관,기획조정실,정책기획관,지능정보화기획팀,일반직,행정·통계·공업·보건· 시설·전산 또는 기록연구관,1
,고용노동부,본부,차관,기획조정실,정책기획관,지능정보화기획팀,일반직,행정·공업·보건·시설 또는 전산사무관,1
,고용노동부,본부,차관,기획조정실,정책기획관,지능정보화기획팀,일반직,전산사무관,1
,고용노동부,본부,차관,기획조정실,정책기획관,지능정보화기획팀,일반직,전산사무관,1
,고용노동부,본부,차관,기획조정실,정책기획관,지능정보화기획팀,일반직,전산사무관,1
,고용노동부,본부,차관,기획조정실,정책기획관,지능정보화기획팀,일반직,전산주사,1
,고용노동부,본부,차관,기획조정실,정책기획관,지능정보화기획팀,일반직,전산주사,1
,고용노동부,본부,차관,기획조정실,정책기획관,지능정보화기획팀,일반직,전산주사,1
,고용노동부,본부,차관,기획조정실,정책기획관,지능정보화기획팀,일반직,전산주사,1
,고용노동부,본부,차관,기획조정실,정책기획관,지능정보화기획팀,일반직,전산주사,1
,고용노동부,본부,차관,기획조정실,정책기획관,지능정보화기획팀,일반직,전산주사,1
,고용노동부,본부,차관,기획조정실,정책기획관,지능정보화기획팀,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사보,1
,고용노동부,본부,차관,기획조정실,정책기획관,지능정보화기획팀,일반직,행정 또는 전산주사보,1
,고용노동부,본부,차관,기획조정실,정책기획관,지능정보화기획팀,일반직,행정 또는 전산주사보,1
,고용노동부,본부,차관,기획조정실,정책기획관,지능정보화기획팀,일반직,전산주사보,1
,고용노동부,본부,차관,기획조정실,정책기획관,지능정보화기획팀,일반직,전산주사보,1
